Question,Description,Type
Is this place good for family dinners?,Kids can eat here and have a good time,boolean
Is this place open late?,Past 11pm,boolean
Does this place serve vegan food?,Food without meat or animal products,boolean
Does this place serve gluten-free food?,Food without gluten,boolean
Is this place handicap accessible?,Easily accessible via wheelchair,boolean
Does this place provide entertainment?,Any forms of amusement other than food or products,boolean
Does this place serve alcohol?,Alcoholic drinks and/or a bar,boolean
Does this place serve healthy food?,Well-balanced meals with fresh ingredients,boolean
Does this place have good service?,Friendly staff and prompt response times,boolean
Does this place accept credit/debit cards?,"Accepts cards for payment, not just cash",boolean
Does this place have takeout?,Can order food for pickup,boolean
Does this place serve breakfast?,Breakfast foods before 10am,boolean
Does this place have outdoor seating?,Tables outside,boolean
Does this place use fresh ingredients?,Fresh ingredients in the dishes,boolean
Does this place list nutritional information?,Calorie counts or ingredient lists,boolean
Does this place have a public restroom?,Open to customers,boolean
Does this place list allergy information?,Ingredients that may cause allergic reactions,boolean
What is the average price of a meal?,Price,integer
